,Equipment,Bill Kesh,Mike Nakaio,No Answer,Otro,Timo Toppinen,Melker Tod,TELA
0,Car 1,0,0,0,1,0,6,2
1,Car 11,0,1,1,0,2,5,2
2,Car 12,3,1,0,0,1,8,0
3,Car 2,3,0,0,0,1,3,0
4,Car 3,0,0,2,0,2,1,1
5,Car 4,3,2,3,0,0,10,2
6,Car 5,0,0,2,0,0,1,0
7,Car 6,0,0,0,0,1,2,4
8,Car 7,3,0,2,0,0,4,1
9,Car 8,1,0,0,3,0,3,0
10,Contenedor mantenimiento,1,1,8,0,1,2,3
11,Entrenamiento,1,0,0,3,1,1,1
12,Lavafuel 2,1,2,4,7,3,6,2
13,Oficinas administrativas,1,0,1,0,1,0,1
14,Ship 1,0,0,0,0,0,2,0
15,Ship 10,0,0,2,0,0,0,1
16,Ship 11,0,0,0,0,0,1,0
17,Ship 13,0,0,0,0,0,3,0
18,Ship 15,0,0,0,0,0,1,0
19,Ship 16,0,0,0,0,0,0,1
20,Ship 18,0,0,0,0,0,1,0
21,Ship 19,3,0,0,0,0,1,0
22,Ship 2,0,0,0,0,0,2,0
23,Ship 20,0,0,0,0,0,2,0
24,Ship 21,0,0,0,0,0,1,0
25,Ship 22,0,0,0,0,1,0,0
26,Ship 4,0,0,0,1,0,1,0
27,Ship 50,0,0,0,0,0,1,0
28,Ship 51,1,0,0,0,0,4,0
29,Ship 53,1,0,0,0,0,5,0
30,Ship 54,0,1,0,0,0,0,0
31,Ship 57,2,0,0,0,0,0,0
32,Ship 58,0,1,0,0,2,3,1
33,Ship 59,0,0,0,0,0,2,2
34,Ship 60,0,0,1,4,2,7,1
35,Ship 61,0,0,1,0,0,0,0
36,Ship 62,4,1,3,2,2,7,4
37,Ship 63,0,1,0,0,0,0,1
38,Ship 64,0,0,0,1,3,3,3
39,Ship 65,1,0,1,0,2,1,2
40,Ship 66,0,0,0,0,0,2,0
41,Ship 67,0,1,2,1,1,0,0
42,Ship 68,3,0,1,0,1,1,3
43,Ship 7,0,0,0,0,0,2,0
44,Ship 71,1,0,1,0,0,2,0
45,Ship 72,0,0,0,0,0,2,1
46,Ship 73,1,1,1,1,1,3,1
47,Ship 8,0,0,0,0,0,2,0
48,Ship 80,3,0,2,1,1,4,4
49,Ship 82,1,0,0,1,1,3,0
50,Ship 83,3,0,1,1,1,3,1
51,Ship 85,2,0,0,2,0,3,3
52,Ship 9,0,0,0,0,1,1,0
53,Truck 1,2,0,2,0,1,9,1
54,Truck 2,13,0,0,4,1,18,7
55,Truck 3,8,0,0,0,0,14,3
